"Residencia","Total","Menos de 500","De 500 a 999","De 1000 a 1499","De 1500 a 1999","De 2000 a 2499","De 2500 a 2999","De 3000 a 3499","De 3500 y más","Sin especificar"
"REPUBLICA ARGENTINA",777012,261,3060,5393,10911,35557,134296,315882,264369,7283
"Ciud Aut de  Buenos Aires",43716,17,197,319,648,1943,7623,17452,15148,369
"Buenos Aires",294329,70,1117,2054,4070,13696,48683,119349,100011,5279
"Partidos del Aglom GBA",208464,55,852,1462,2924,9592,33523,83224,72865,3967
"Catamarca",6840,1,25,39,122,341,1297,2755,2196,64
"Córdoba",59246,11,213,388,835,2618,10733,24878,19331,239
"Corrientes",20933,4,72,136,278,986,3781,8433,7068,175
"Chaco",22798,6,99,183,365,1209,4360,8905,7488,183
"Chubut",9881,1,27,67,136,370,1525,3934,3821,0
"Entre Ríos",23318,5,80,187,353,1112,4313,9591,7600,77
"Formosa",12531,5,34,91,192,625,2310,5042,4211,21
"Jujuy",14025,7,57,96,202,584,2339,5631,5109,0
"La Pampa",5619,1,26,38,74,266,983,2253,1977,1
"La Rioja",6287,2,48,39,63,257,1021,2596,2213,48
"Mendoza",36098,11,142,225,528,1563,6630,15118,11861,20
"Misiones",27511,5,81,194,365,1326,5219,11370,8585,366
"Neuquén",11933,6,51,87,163,455,1916,4824,4431,0
"Río Negro",12339,3,45,67,164,471,2092,4931,4546,20
"Salta",28346,26,127,222,375,1296,4940,11862,9498,0
"San Juan",15528,6,64,98,196,653,2639,6312,5560,0
"San Luis",7932,0,49,49,112,338,1443,3278,2538,125
"Santa Cruz",6156,3,22,31,66,213,902,2426,2434,59
"Santa Fe",57798,25,272,425,821,2694,10303,23683,19569,6
"Santiago del Estero",18180,4,39,92,217,782,2763,6947,7304,32
"Tucumán",30393,39,147,218,493,1509,5674,12271,9945,97
"Tierra del Fuego",3038,1,13,21,35,139,455,1224,1148,2
"Otros Países",381,0,1,5,7,21,68,150,120,9
"Lugar no especificado",1856,2,12,22,31,90,284,667,657,91
